chain,rep,condition,session,tokens,output,cost,wallSeconds,toolCalls
04-tz-convention,rep1,bare,recall,47258,520,0.17242,16.1,7
04-tz-convention,rep2,canon,s1,18184,1196,0.07185,29.7,9
04-tz-convention,rep2,canon,s2,29376,1509,0.12202,38.5,9
04-tz-convention,rep2,canon,s3,67340,3686,0.23111,74.2,17
04-tz-convention,rep2,canon,recall,12380,521,0.05514,23.1,7
04-tz-convention,rep2,bare,s1,17252,657,0.06602,18.5,9
04-tz-convention,rep2,bare,s2,13721,779,0.05423,20.7,5
04-tz-convention,rep2,bare,s3,22290,1338,0.08462,35.7,10
04-tz-convention,rep2,bare,recall,68048,550,0.34627,19.1,10
05-import-lazy,rep1,canon,s1,37659,1565,0.12693,40.5,17
05-import-lazy,rep1,canon,s2,28317,1844,0.11953,43.9,11
05-import-lazy,rep1,canon,s3,62151,2600,0.18847,79.5,20
05-import-lazy,rep1,canon,recall,13611,632,0.07039,19.2,9
05-import-lazy,rep1,bare,s1,17102,1464,0.07887,26.7,10
05-import-lazy,rep1,bare,s2,13039,785,0.0633,19.9,6
05-import-lazy,rep1,bare,s3,37441,1897,0.13657,47.2,18
05-import-lazy,rep1,bare,recall,29084,1155,0.16785,24.7,12
05-import-lazy,rep2,canon,s1,48525,2101,0.16114,52.8,20
05-import-lazy,rep2,canon,s2,26401,1796,0.12348,46.4,14
05-import-lazy,rep2,canon,s3,76373,3394,0.22607,73.0,24
05-import-lazy,rep2,canon,recall,15955,614,0.05505,24.7,6
05-import-lazy,rep2,bare,s1,34742,1465,0.14464,44.3,17
05-import-lazy,rep2,bare,s2,12031,890,0.05259,23.3,5
05-import-lazy,rep2,bare,s3,41567,1825,0.17857,53.4,20
05-import-lazy,rep2,bare,recall,23865,1097,0.14072,29.3,10
