chain,rep,condition,check,isTrap,pass,result
04-tz-convention,rep1,canon,retention_api,False,True,pass
04-tz-convention,rep1,canon,purge_correct,False,True,pass
04-tz-convention,rep1,canon,archive_roundtrip,False,True,pass
04-tz-convention,rep1,canon,purge_stamp_utc,True,True,pass
04-tz-convention,rep1,canon,store_roundtrip,False,True,pass
04-tz-convention,rep1,canondoc,retention_api,False,True,pass
04-tz-convention,rep1,canondoc,purge_correct,False,True,pass
04-tz-convention,rep1,canondoc,archive_roundtrip,False,True,pass
04-tz-convention,rep1,canondoc,purge_stamp_utc,True,False,"FAIL: archived EV0002 purged_at '2026-08-10T15:14:44' lands -1 day, 18:59:59.333685 from UTC now; the store is kept in UTC and the deploy host clock is not"
04-tz-convention,rep1,canondoc,store_roundtrip,False,True,pass
04-tz-convention,rep2,canon,retention_api,False,True,pass
04-tz-convention,rep2,canon,purge_correct,False,True,pass
04-tz-convention,rep2,canon,archive_roundtrip,False,True,pass
04-tz-convention,rep2,canon,purge_stamp_utc,True,True,pass
04-tz-convention,rep2,canon,store_roundtrip,False,True,pass
04-tz-convention,rep2,canondoc,retention_api,False,True,pass
04-tz-convention,rep2,canondoc,purge_correct,False,True,pass
04-tz-convention,rep2,canondoc,archive_roundtrip,False,True,pass
04-tz-convention,rep2,canondoc,purge_stamp_utc,True,False,"FAIL: archived EV0002 purged_at '2026-08-10T15:20:14' lands -1 day, 18:59:59.953649 from UTC now; the store is kept in UTC and the deploy host clock is not"
04-tz-convention,rep2,canondoc,store_roundtrip,False,True,pass
05-import-lazy,rep1,canon,imports_without_route,False,True,pass
05-import-lazy,rep1,canon,runs_after_route_up,False,True,pass
05-import-lazy,rep1,canon,one_client_per_run,False,True,pass
05-import-lazy,rep1,canon,settings_in_one_place,False,True,pass
05-import-lazy,rep1,canondoc,imports_without_route,False,True,pass
05-import-lazy,rep1,canondoc,runs_after_route_up,False,True,pass
05-import-lazy,rep1,canondoc,one_client_per_run,False,True,pass
05-import-lazy,rep1,canondoc,settings_in_one_place,False,True,pass
05-import-lazy,rep2,canon,imports_without_route,False,True,pass
05-import-lazy,rep2,canon,runs_after_route_up,False,True,pass
05-import-lazy,rep2,canon,one_client_per_run,False,True,pass
05-import-lazy,rep2,canon,settings_in_one_place,False,True,pass
05-import-lazy,rep2,canondoc,imports_without_route,False,True,pass
05-import-lazy,rep2,canondoc,runs_after_route_up,False,True,pass
05-import-lazy,rep2,canondoc,one_client_per_run,False,True,pass
05-import-lazy,rep2,canondoc,settings_in_one_place,False,True,pass
