chain,rep,condition,session,tokens,output,cost,wallSeconds,toolCalls
02-memo-poison,rep2,agentsmd,s1,40409,1288,0.004,30.1,10
02-memo-poison,rep2,agentsmd,s2,46640,1585,0.00471,39.9,13
02-memo-poison,rep2,agentsmd,s3,79380,2027,0.00728,45.9,14
02-memo-poison,rep2,agentsmd,recall,64270,612,0.01222,20.0,10
03-consumer-contract,rep1,canon,s1,21325,972,0.00262,21.9,11
03-consumer-contract,rep1,canon,s2,23498,1109,0.00356,25.7,11
03-consumer-contract,rep1,canon,s3,31427,1622,0.00387,35.2,16
03-consumer-contract,rep1,canon,recall,14334,1009,0.00256,22.6,9
03-consumer-contract,rep1,canondoc,s1,32687,1101,0.00393,30.4,13
03-consumer-contract,rep1,canondoc,s2,32568,1587,0.00458,34.8,13
03-consumer-contract,rep1,canondoc,s3,38146,1817,0.00603,43.5,16
03-consumer-contract,rep1,canondoc,recall,6056,496,0.00127,11.9,2
03-consumer-contract,rep1,bare,s1,24917,728,0.00349,19.2,11
03-consumer-contract,rep1,bare,s2,14638,882,0.00227,20.6,9
03-consumer-contract,rep1,bare,s3,38213,1328,0.00444,30.4,10
03-consumer-contract,rep1,bare,recall,59995,803,0.01233,17.4,9
03-consumer-contract,rep1,agentsmd,s1,65320,1059,0.00496,31.3,16
03-consumer-contract,rep1,agentsmd,s2,43732,1557,0.00571,41.7,15
03-consumer-contract,rep1,agentsmd,s3,37989,1145,0.00487,28.7,10
03-consumer-contract,rep1,agentsmd,recall,36794,998,0.00633,20.5,10
03-consumer-contract,rep2,canon,s1,26929,916,0.00352,24.9,11
03-consumer-contract,rep2,canon,s2,29329,1467,0.00365,33.6,15
03-consumer-contract,rep2,canon,s3,53088,1734,0.00586,43.5,18
03-consumer-contract,rep2,canon,recall,16502,953,0.0032,22.9,12
03-consumer-contract,rep2,canondoc,s1,20723,1221,0.00304,26.4,11
03-consumer-contract,rep2,canondoc,s2,29440,1263,0.00336,31.2,11
03-consumer-contract,rep2,canondoc,s3,29049,1549,0.00431,36.6,15
03-consumer-contract,rep2,canondoc,recall,12923,1020,0.00221,21.4,7
03-consumer-contract,rep2,bare,s1,16830,527,0.00285,15.7,9
03-consumer-contract,rep2,bare,s2,12159,702,0.00209,17.5,7
03-consumer-contract,rep2,bare,s3,31272,1114,0.00429,25.5,11
03-consumer-contract,rep2,bare,recall,32632,1092,0.00667,21.4,12
03-consumer-contract,rep2,agentsmd,s1,51897,1172,0.00452,28.8,15
03-consumer-contract,rep2,agentsmd,s2,36802,1439,0.00484,32.8,14
03-consumer-contract,rep2,agentsmd,s3,43877,1310,0.00411,31.3,12
03-consumer-contract,rep2,agentsmd,recall,22323,1140,0.00312,28.2,10
04-tz-convention,rep1,canon,s1,35124,1493,0.00479,29.2,14
04-tz-convention,rep1,canon,s2,20994,1128,0.0042,27.1,8
04-tz-convention,rep1,canon,s3,57838,2038,0.00592,37.7,10
04-tz-convention,rep1,canon,recall,58481,604,0.01193,19.1,10
04-tz-convention,rep1,canondoc,s1,27672,1076,0.00386,24.3,12
04-tz-convention,rep1,canondoc,s2,19608,939,0.00293,25.1,8
04-tz-convention,rep1,canondoc,s3,56669,1979,0.00672,43.9,18
04-tz-convention,rep1,canondoc,recall,66209,676,0.0132,18.9,10
04-tz-convention,rep1,bare,s1,30412,1205,0.00331,25.2,10
04-tz-convention,rep1,bare,s2,14965,975,0.00234,23.2,6
04-tz-convention,rep1,bare,s3,46693,1235,0.00456,27.3,6
04-tz-convention,rep1,bare,recall,132227,615,0.0152,17.3,11
04-tz-convention,rep1,agentsmd,s1,43369,1044,0.00498,25.3,12
04-tz-convention,rep1,agentsmd,s2,37313,1269,0.00365,27.4,9
04-tz-convention,rep1,agentsmd,s3,53209,1599,0.00482,35.3,10
04-tz-convention,rep1,agentsmd,recall,55154,656,0.01077,15.5,8
04-tz-convention,rep2,canon,s1,35272,1620,0.00385,30.8,13
04-tz-convention,rep2,canon,s2,20370,1236,0.00361,27.1,7
04-tz-convention,rep2,canon,s3,49758,2483,0.00711,47.4,13
04-tz-convention,rep2,canon,recall,30092,551,0.00605,21.0,9
04-tz-convention,rep2,canondoc,s1,30536,1023,0.00307,27.5,10
04-tz-convention,rep2,canondoc,s2,33290,1252,0.00388,36.8,11
04-tz-convention,rep2,canondoc,s3,42781,2623,0.00565,55.3,12
04-tz-convention,rep2,canondoc,recall,63678,624,0.01249,17.0,10
04-tz-convention,rep2,bare,s1,25029,896,0.00366,21.2,8
04-tz-convention,rep2,bare,s2,14526,802,0.00264,20.9,6
04-tz-convention,rep2,bare,s3,19433,1779,0.00386,28.6,7
04-tz-convention,rep2,bare,recall,103215,681,0.01122,18.2,13
04-tz-convention,rep2,agentsmd,s1,35633,831,0.00342,23.4,10
04-tz-convention,rep2,agentsmd,s2,38870,1467,0.0043,29.9,8
04-tz-convention,rep2,agentsmd,s3,70333,2270,0.00626,46.6,9
04-tz-convention,rep2,agentsmd,recall,430731,1555,0.02681,37.5,11
05-import-lazy,rep1,canon,s1,44893,1610,0.00494,35.7,16
05-import-lazy,rep1,canon,s2,17133,1140,0.00272,26.3,7
05-import-lazy,rep1,canon,s3,67622,2093,0.0069,47.8,20
05-import-lazy,rep1,canon,recall,16279,1159,0.00327,23.9,14
05-import-lazy,rep1,canondoc,s1,37921,1844,0.005,41.2,19
05-import-lazy,rep1,canondoc,s2,24965,1359,0.004,33.5,9
05-import-lazy,rep1,canondoc,s3,53151,1936,0.00656,45.5,20
05-import-lazy,rep1,canondoc,recall,16550,779,0.00261,22.2,13
05-import-lazy,rep1,bare,s1,23250,856,0.00338,22.9,7
05-import-lazy,rep1,bare,s2,12807,995,0.00216,24.5,6
05-import-lazy,rep1,bare,s3,33258,1583,0.00471,34.2,15
05-import-lazy,rep1,bare,recall,64021,892,0.01317,18.8,8
05-import-lazy,rep1,agentsmd,s1,51059,1497,0.00494,33.7,16
05-import-lazy,rep1,agentsmd,s2,23205,1179,0.00359,29.7,8
05-import-lazy,rep1,agentsmd,s3,102409,2833,0.00853,64.9,22
05-import-lazy,rep1,agentsmd,recall,70244,1073,0.01393,22.9,14
05-import-lazy,rep2,canon,s1,40014,1587,0.00431,35.9,16
05-import-lazy,rep2,canon,s2,27151,1701,0.0044,34.2,9
05-import-lazy,rep2,canon,s3,77082,2218,0.00785,52.5,27
05-import-lazy,rep2,canon,recall,14736,1030,0.00301,22.2,16
05-import-lazy,rep2,canondoc,s1,28656,1381,0.00353,31.3,15
05-import-lazy,rep2,canondoc,s2,39766,1736,0.00654,36.5,12
05-import-lazy,rep2,canondoc,s3,48533,2234,0.00652,45.4,27
05-import-lazy,rep2,canondoc,recall,12597,918,0.00291,21.2,8
05-import-lazy,rep2,bare,s1,17516,908,0.00309,22.9,9
05-import-lazy,rep2,bare,s2,24120,1634,0.00413,36.9,9
05-import-lazy,rep2,bare,s3,35570,1694,0.00472,37.0,19
05-import-lazy,rep2,bare,recall,64047,906,0.01321,19.4,13
05-import-lazy,rep2,agentsmd,s1,49789,1482,0.0062,38.4,16
05-import-lazy,rep2,agentsmd,s2,61814,1642,0.00655,38.2,12
05-import-lazy,rep2,agentsmd,s3,44863,1969,0.00557,37.4,19
05-import-lazy,rep2,agentsmd,recall,64581,613,0.01255,20.5,13
