chain,rep,condition,session,cost
03-consumer-contract,rep2,canon,recall,0.0032031600000000005
03-consumer-contract,rep2,canon,s1,0.00351732
03-consumer-contract,rep2,canon,s2,0.0036454400000000002
03-consumer-contract,rep2,canon,s3,0.005864639999999999
03-consumer-contract,rep2,canondoc,recall,0.00221404
03-consumer-contract,rep2,canondoc,s1,0.00303568
03-consumer-contract,rep2,canondoc,s2,0.00336452
03-consumer-contract,rep2,canondoc,s3,0.004312000000000001
04-tz-convention,rep1,agentsmd,recall,0.010767120000000002
04-tz-convention,rep1,agentsmd,s1,0.004982360000000001
04-tz-convention,rep1,agentsmd,s2,0.00365008
04-tz-convention,rep1,agentsmd,s3,0.0048166400000000005
04-tz-convention,rep1,bare,recall,0.015203920000000001
04-tz-convention,rep1,bare,s1,0.0033067599999999997
04-tz-convention,rep1,bare,s2,0.0023420000000000003
04-tz-convention,rep1,bare,s3,0.004560640000000001
04-tz-convention,rep1,canon,recall,0.011931319999999999
04-tz-convention,rep1,canon,s1,0.00478724
04-tz-convention,rep1,canon,s2,0.0042036
04-tz-convention,rep1,canon,s3,0.00591528
04-tz-convention,rep1,canondoc,recall,0.01320284
04-tz-convention,rep1,canondoc,s1,0.0038616800000000006
04-tz-convention,rep1,canondoc,s2,0.002925
04-tz-convention,rep1,canondoc,s3,0.0067228800000000005
04-tz-convention,rep2,agentsmd,recall,0.026805040000000002
04-tz-convention,rep2,agentsmd,s1,0.00341728
04-tz-convention,rep2,agentsmd,s2,0.00429796
04-tz-convention,rep2,agentsmd,s3,0.00626476
04-tz-convention,rep2,bare,recall,0.011216160000000001
04-tz-convention,rep2,bare,s1,0.00365804
04-tz-convention,rep2,bare,s2,0.0026416
04-tz-convention,rep2,bare,s3,0.00386008
04-tz-convention,rep2,canon,recall,0.006051000000000001
04-tz-convention,rep2,canon,s1,0.00385088
04-tz-convention,rep2,canon,s2,0.0036072000000000005
04-tz-convention,rep2,canon,s3,0.00711284
04-tz-convention,rep2,canondoc,recall,0.01248912
04-tz-convention,rep2,canondoc,s1,0.00306748
04-tz-convention,rep2,canondoc,s2,0.0038832800000000007
04-tz-convention,rep2,canondoc,s3,0.005652
05-import-lazy,rep1,agentsmd,recall,0.0139326
05-import-lazy,rep1,agentsmd,s1,0.0049434399999999995
05-import-lazy,rep1,agentsmd,s2,0.00358608
05-import-lazy,rep1,agentsmd,s3,0.008532960000000001
05-import-lazy,rep1,bare,recall,0.01317012
05-import-lazy,rep1,bare,s1,0.00337504
05-import-lazy,rep1,bare,s2,0.0021567199999999996
05-import-lazy,rep1,bare,s3,0.00471476
05-import-lazy,rep1,canon,recall,0.00327096
05-import-lazy,rep1,canon,s1,0.00494452
05-import-lazy,rep1,canon,s2,0.0027169200000000003
05-import-lazy,rep1,canon,s3,0.006901559999999999
05-import-lazy,rep1,canondoc,recall,0.0026094
05-import-lazy,rep1,canondoc,s1,0.0050026
05-import-lazy,rep1,canondoc,s2,0.00399952
05-import-lazy,rep1,canondoc,s3,0.00655948
05-import-lazy,rep2,agentsmd,recall,0.01255
05-import-lazy,rep2,agentsmd,s1,0.00620396
05-import-lazy,rep2,agentsmd,s2,0.006553280000000001
05-import-lazy,rep2,agentsmd,s3,0.00556632
05-import-lazy,rep2,bare,recall,0.013213320000000002
05-import-lazy,rep2,bare,s1,0.00308928
05-import-lazy,rep2,bare,s2,0.00413144
05-import-lazy,rep2,bare,s3,0.0047232
05-import-lazy,rep2,canon,recall,0.0030059200000000005
05-import-lazy,rep2,canon,s1,0.00431316
05-import-lazy,rep2,canon,s2,0.004403600000000001
05-import-lazy,rep2,canon,s3,0.007848879999999999
05-import-lazy,rep2,canondoc,recall,0.00290652
05-import-lazy,rep2,canondoc,s1,0.00352924
05-import-lazy,rep2,canondoc,s2,0.0065428000000000005
05-import-lazy,rep2,canondoc,s3,0.0065190000000000005
