chain,rep,condition,session,cost
03-consumer-contract,rep1,bare,recall,0.005541519999999999
03-consumer-contract,rep1,bare,s1,0.0023766
03-consumer-contract,rep1,bare,s2,0.00251932
03-consumer-contract,rep1,bare,s3,0.00381188
03-consumer-contract,rep1,canon,recall,0.00245244
03-consumer-contract,rep1,canon,s1,0.00359624
03-consumer-contract,rep1,canon,s2,0.00474428
03-consumer-contract,rep1,canon,s3,0.006823440000000001
03-consumer-contract,rep1,canondoc,recall,0.00254344
03-consumer-contract,rep1,canondoc,s1,0.0033748800000000002
03-consumer-contract,rep1,canondoc,s2,0.0044109200000000005
03-consumer-contract,rep1,canondoc,s3,0.004789160000000001
03-consumer-contract,rep2,agentsmd,recall,0.013025520000000002
03-consumer-contract,rep2,agentsmd,s1,0.0037986400000000003
03-consumer-contract,rep2,agentsmd,s2,0.0051100799999999995
03-consumer-contract,rep2,agentsmd,s3,0.005880280000000001
03-consumer-contract,rep2,bare,recall,0.007873600000000001
03-consumer-contract,rep2,bare,s1,0.0037227599999999994
03-consumer-contract,rep2,bare,s2,0.0031136000000000007
03-consumer-contract,rep2,bare,s3,0.00440768
03-consumer-contract,rep2,canon,recall,0.002662
03-consumer-contract,rep2,canon,s1,0.004156760000000001
03-consumer-contract,rep2,canon,s2,0.004650400000000001
03-consumer-contract,rep2,canon,s3,0.00545248
03-consumer-contract,rep2,canondoc,recall,0.00309256
03-consumer-contract,rep2,canondoc,s1,0.0032606000000000002
03-consumer-contract,rep2,canondoc,s2,0.00491444
03-consumer-contract,rep2,canondoc,s3,0.005591159999999999
03-consumer-contract,rep3,agentsmd,recall,0.00620724
03-consumer-contract,rep3,agentsmd,s1,0.004762120000000001
03-consumer-contract,rep3,agentsmd,s2,0.00472928
03-consumer-contract,rep3,agentsmd,s3,0.004054879999999999
03-consumer-contract,rep3,bare,recall,0.013591720000000002
03-consumer-contract,rep3,bare,s1,0.0020306
03-consumer-contract,rep3,bare,s2,0.002971
03-consumer-contract,rep3,bare,s3,0.00365976
03-consumer-contract,rep3,canon,recall,0.0020882400000000003
03-consumer-contract,rep3,canon,s1,0.00355792
03-consumer-contract,rep3,canon,s2,0.004042560000000001
03-consumer-contract,rep3,canon,s3,0.00649532
03-consumer-contract,rep3,canondoc,recall,0.00147392
03-consumer-contract,rep3,canondoc,s1,0.0031986799999999998
03-consumer-contract,rep3,canondoc,s2,0.00428344
03-consumer-contract,rep3,canondoc,s3,0.005368159999999999
03-consumer-contract,rep4,agentsmd,recall,0.00634156
03-consumer-contract,rep4,agentsmd,s1,0.00360528
03-consumer-contract,rep4,agentsmd,s2,0.00387004
03-consumer-contract,rep4,agentsmd,s3,0.0046134800000000005
03-consumer-contract,rep4,bare,recall,0.01741736
03-consumer-contract,rep4,bare,s1,0.00276968
03-consumer-contract,rep4,bare,s2,0.00233708
03-consumer-contract,rep4,bare,s3,0.00326024
03-consumer-contract,rep4,canon,recall,0.0025656000000000003
03-consumer-contract,rep4,canon,s1,0.00425236
03-consumer-contract,rep4,canon,s2,0.0044199999999999995
03-consumer-contract,rep4,canon,s3,0.00611336
03-consumer-contract,rep4,canondoc,recall,0.00198756
03-consumer-contract,rep4,canondoc,s1,0.00367008
03-consumer-contract,rep4,canondoc,s2,0.00455656
03-consumer-contract,rep4,canondoc,s3,0.004875280000000001
03-consumer-contract,rep5,agentsmd,recall,0.00286752
03-consumer-contract,rep5,agentsmd,s1,0.0037086400000000005
03-consumer-contract,rep5,agentsmd,s2,0.00597572
03-consumer-contract,rep5,agentsmd,s3,0.0037080000000000004
03-consumer-contract,rep5,bare,recall,0.007063960000000001
03-consumer-contract,rep5,bare,s1,0.0037465600000000003
03-consumer-contract,rep5,bare,s2,0.00219032
03-consumer-contract,rep5,bare,s3,0.00431756
03-consumer-contract,rep5,canon,recall,0.0030754399999999996
03-consumer-contract,rep5,canon,s1,0.00424884
03-consumer-contract,rep5,canon,s2,0.00426624
03-consumer-contract,rep5,canon,s3,0.004809160000000001
03-consumer-contract,rep5,canondoc,recall,0.00159444
03-consumer-contract,rep5,canondoc,s1,0.0035918400000000002
03-consumer-contract,rep5,canondoc,s2,0.00500128
03-consumer-contract,rep5,canondoc,s3,0.0054091600000000005
04-tz-convention,rep1,agentsmd,recall,0.009646600000000002
04-tz-convention,rep1,agentsmd,s1,0.005014960000000001
04-tz-convention,rep1,agentsmd,s2,0.00460264
04-tz-convention,rep1,agentsmd,s3,0.00564576
04-tz-convention,rep1,bare,recall,0.005742720000000001
04-tz-convention,rep1,bare,s1,0.00804712
04-tz-convention,rep1,bare,s2,0.0027444
04-tz-convention,rep1,bare,s3,0.00425568
04-tz-convention,rep1,canon,recall,0.0024786
04-tz-convention,rep1,canon,s1,0.0044794
04-tz-convention,rep1,canon,s2,0.00345768
04-tz-convention,rep1,canon,s3,0.01039608
04-tz-convention,rep1,canondoc,recall,0.009769560000000002
04-tz-convention,rep1,canondoc,s1,0.0037998
04-tz-convention,rep1,canondoc,s2,0.0035742
04-tz-convention,rep1,canondoc,s3,0.0095004
04-tz-convention,rep2,agentsmd,recall,0.00814512
04-tz-convention,rep2,agentsmd,s1,0.0041088
04-tz-convention,rep2,agentsmd,s2,0.008333799999999999
04-tz-convention,rep2,agentsmd,s3,0.00546772
04-tz-convention,rep2,bare,recall,0.012052800000000002
04-tz-convention,rep2,bare,s1,0.0031717600000000005
04-tz-convention,rep2,bare,s2,0.0022256000000000003
04-tz-convention,rep2,bare,s3,0.00259336
04-tz-convention,rep2,canon,recall,0.00229444
04-tz-convention,rep2,canon,s1,0.00444296
04-tz-convention,rep2,canon,s2,0.0041061199999999996
04-tz-convention,rep2,canon,s3,0.010382800000000001
04-tz-convention,rep2,canondoc,recall,0.0018769600000000002
04-tz-convention,rep2,canondoc,s1,0.00521724
04-tz-convention,rep2,canondoc,s2,0.003803880000000001
04-tz-convention,rep2,canondoc,s3,0.006522399999999999
04-tz-convention,rep3,agentsmd,recall,0.012398159999999998
04-tz-convention,rep3,agentsmd,s1,0.0038466
04-tz-convention,rep3,agentsmd,s2,0.004290800000000001
04-tz-convention,rep3,agentsmd,s3,0.00551524
04-tz-convention,rep3,bare,recall,0.012413880000000002
04-tz-convention,rep3,bare,s1,0.0024117599999999998
04-tz-convention,rep3,bare,s2,0.002286
04-tz-convention,rep3,bare,s3,0.005765200000000001
04-tz-convention,rep3,canon,recall,0.012283680000000002
04-tz-convention,rep3,canon,s1,0.00358876
04-tz-convention,rep3,canon,s2,0.004303480000000001
04-tz-convention,rep3,canon,s3,0.005204319999999999
04-tz-convention,rep3,canondoc,recall,0.00174624
04-tz-convention,rep3,canondoc,s1,0.0037048800000000002
04-tz-convention,rep3,canondoc,s2,0.0034728800000000002
04-tz-convention,rep3,canondoc,s3,0.00804336
04-tz-convention,rep4,agentsmd,recall,0.014456
04-tz-convention,rep4,agentsmd,s1,0.0040383599999999995
04-tz-convention,rep4,agentsmd,s2,0.004322920000000001
04-tz-convention,rep4,agentsmd,s3,0.007789040000000002
04-tz-convention,rep4,bare,recall,0.012271920000000002
04-tz-convention,rep4,bare,s1,0.00354516
04-tz-convention,rep4,bare,s2,0.0021966
04-tz-convention,rep4,bare,s3,0.0041718
04-tz-convention,rep4,canon,recall,0.00404524
04-tz-convention,rep4,canon,s1,0.00565724
04-tz-convention,rep4,canon,s2,0.00353256
04-tz-convention,rep4,canon,s3,0.005206120000000001
04-tz-convention,rep4,canondoc,recall,0.005447160000000001
04-tz-convention,rep4,canondoc,s1,0.004035240000000001
04-tz-convention,rep4,canondoc,s2,0.004015680000000001
04-tz-convention,rep4,canondoc,s3,0.006357160000000001
04-tz-convention,rep5,agentsmd,recall,0.01319752
04-tz-convention,rep5,agentsmd,s1,0.0036044400000000004
04-tz-convention,rep5,agentsmd,s2,0.0041062
04-tz-convention,rep5,agentsmd,s3,0.00539024
04-tz-convention,rep5,bare,recall,0.01390432
04-tz-convention,rep5,bare,s1,0.0034024
04-tz-convention,rep5,bare,s2,0.0023561999999999997
04-tz-convention,rep5,bare,s3,0.00316244
04-tz-convention,rep5,canon,recall,0.01289764
04-tz-convention,rep5,canon,s1,0.0073252000000000005
04-tz-convention,rep5,canon,s2,0.00512836
04-tz-convention,rep5,canon,s3,0.00676836
04-tz-convention,rep5,canondoc,recall,0.0020294400000000004
04-tz-convention,rep5,canondoc,s1,0.00391068
04-tz-convention,rep5,canondoc,s2,0.0036723200000000006
04-tz-convention,rep5,canondoc,s3,0.00407708
05-import-lazy,rep1,agentsmd,recall,0.012493960000000002
05-import-lazy,rep1,agentsmd,s1,0.00420184
05-import-lazy,rep1,agentsmd,s2,0.00405064
05-import-lazy,rep1,agentsmd,s3,0.0092914
05-import-lazy,rep1,bare,recall,0.013547320000000002
05-import-lazy,rep1,bare,s1,0.0026135200000000003
05-import-lazy,rep1,bare,s2,0.0023563200000000003
05-import-lazy,rep1,bare,s3,0.0060503200000000005
05-import-lazy,rep1,canon,recall,0.014244960000000001
05-import-lazy,rep1,canon,s1,0.00402576
05-import-lazy,rep1,canon,s2,0.00459632
05-import-lazy,rep1,canon,s3,0.00726888
05-import-lazy,rep1,canondoc,recall,0.01469784
05-import-lazy,rep1,canondoc,s1,0.004534359999999999
05-import-lazy,rep1,canondoc,s2,0.00403348
05-import-lazy,rep1,canondoc,s3,0.00792412
05-import-lazy,rep2,agentsmd,recall,0.01334372
05-import-lazy,rep2,agentsmd,s1,0.00476592
05-import-lazy,rep2,agentsmd,s2,0.0037734
05-import-lazy,rep2,agentsmd,s3,0.007893120000000002
05-import-lazy,rep2,bare,recall,0.013644920000000001
05-import-lazy,rep2,bare,s1,0.0026345199999999996
05-import-lazy,rep2,bare,s2,0.00297432
05-import-lazy,rep2,bare,s3,0.005271480000000001
05-import-lazy,rep2,canon,recall,0.01387892
05-import-lazy,rep2,canon,s1,0.007137559999999999
05-import-lazy,rep2,canon,s2,0.00421232
05-import-lazy,rep2,canon,s3,0.00649156
05-import-lazy,rep2,canondoc,recall,0.00222692
05-import-lazy,rep2,canondoc,s1,0.0053865599999999994
05-import-lazy,rep2,canondoc,s2,0.004328520000000001
05-import-lazy,rep2,canondoc,s3,0.00603608
05-import-lazy,rep3,agentsmd,recall,0.0119848
05-import-lazy,rep3,agentsmd,s1,0.005246120000000001
05-import-lazy,rep3,agentsmd,s2,0.00489968
05-import-lazy,rep3,agentsmd,s3,0.00588192
05-import-lazy,rep3,bare,recall,0.012572320000000001
05-import-lazy,rep3,bare,s1,0.0027418
05-import-lazy,rep3,bare,s2,0.0031769199999999997
05-import-lazy,rep3,bare,s3,0.00364376
05-import-lazy,rep3,canon,recall,0.014980320000000002
05-import-lazy,rep3,canon,s1,0.00392564
05-import-lazy,rep3,canon,s2,0.0047212
05-import-lazy,rep3,canon,s3,0.0060247600000000005
05-import-lazy,rep3,canondoc,recall,0.00270792
05-import-lazy,rep3,canondoc,s1,0.004713200000000001
05-import-lazy,rep3,canondoc,s2,0.0038740800000000002
05-import-lazy,rep3,canondoc,s3,0.006479040000000001
05-import-lazy,rep4,agentsmd,recall,0.01251368
05-import-lazy,rep4,agentsmd,s1,0.00418172
05-import-lazy,rep4,agentsmd,s2,0.0031744800000000004
05-import-lazy,rep4,agentsmd,s3,0.005126120000000001
05-import-lazy,rep4,bare,recall,0.012745320000000001
05-import-lazy,rep4,bare,s1,0.0022659200000000003
05-import-lazy,rep4,bare,s2,0.0026571999999999998
05-import-lazy,rep4,bare,s3,0.00506448
05-import-lazy,rep4,canon,recall,0.0033155600000000004
05-import-lazy,rep4,canon,s1,0.004103760000000001
05-import-lazy,rep4,canon,s2,0.00397688
05-import-lazy,rep4,canon,s3,0.00778476
05-import-lazy,rep4,canondoc,recall,0.00150832
05-import-lazy,rep4,canondoc,s1,0.0067772399999999995
05-import-lazy,rep4,canondoc,s2,0.0037876399999999997
05-import-lazy,rep4,canondoc,s3,0.007010679999999999
05-import-lazy,rep5,agentsmd,recall,0.011655
05-import-lazy,rep5,agentsmd,s1,0.0044884799999999996
05-import-lazy,rep5,agentsmd,s2,0.00298036
05-import-lazy,rep5,agentsmd,s3,0.0050574
05-import-lazy,rep5,bare,recall,0.01261972
05-import-lazy,rep5,bare,s1,0.0021834800000000002
05-import-lazy,rep5,bare,s2,0.00291932
05-import-lazy,rep5,bare,s3,0.00524008
05-import-lazy,rep5,canon,recall,0.013798680000000002
05-import-lazy,rep5,canon,s1,0.0043421200000000005
05-import-lazy,rep5,canon,s2,0.0039284
05-import-lazy,rep5,canon,s3,0.0062986000000000006
05-import-lazy,rep5,canondoc,recall,0.00216136
05-import-lazy,rep5,canondoc,s1,0.00617368
05-import-lazy,rep5,canondoc,s2,0.0034434
05-import-lazy,rep5,canondoc,s3,0.008593800000000002
