chain,rep,condition,session,tokens,output,cost,wallSeconds,toolCalls
04-tz-convention,rep5,canondoc,s3,34508,1819,0.00408,39.0,9
04-tz-convention,rep5,canondoc,recall,12912,552,0.00203,19.4,7
04-tz-convention,rep5,bare,s1,28857,1237,0.0034,27.7,10
04-tz-convention,rep5,bare,s2,15005,998,0.00236,25.0,6
04-tz-convention,rep5,bare,s3,20541,1604,0.00316,36.0,7
04-tz-convention,rep5,bare,recall,68550,604,0.0139,16.0,9
04-tz-convention,rep5,agentsmd,s1,40464,933,0.0036,33.7,10
04-tz-convention,rep5,agentsmd,s2,38618,1257,0.00411,35.7,9
04-tz-convention,rep5,agentsmd,s3,57508,1860,0.00539,40.8,12
04-tz-convention,rep5,agentsmd,recall,89911,635,0.0132,18.6,9
05-import-lazy,rep1,canon,s1,23167,1453,0.00403,31.9,14
05-import-lazy,rep1,canon,s2,26990,1558,0.0046,38.7,10
05-import-lazy,rep1,canon,s3,60388,2254,0.00727,46.4,20
05-import-lazy,rep1,canon,recall,72172,808,0.01424,20.8,10
05-import-lazy,rep1,canondoc,s1,27860,1545,0.00453,31.8,10
05-import-lazy,rep1,canondoc,s2,20936,1695,0.00403,37.4,11
05-import-lazy,rep1,canondoc,s3,65689,2450,0.00792,54.3,20
05-import-lazy,rep1,canondoc,recall,72368,968,0.0147,25.9,12
05-import-lazy,rep1,bare,s1,17806,884,0.00261,22.4,13
05-import-lazy,rep1,bare,s2,13541,1097,0.00236,24.3,6
05-import-lazy,rep1,bare,s3,43252,1802,0.00605,39.9,21
05-import-lazy,rep1,bare,recall,65596,1103,0.01355,23.1,9
05-import-lazy,rep1,agentsmd,s1,42039,1165,0.0042,27.6,14
05-import-lazy,rep1,agentsmd,s2,31594,1268,0.00405,29.3,11
05-import-lazy,rep1,agentsmd,s3,102091,1574,0.00929,38.5,17
05-import-lazy,rep1,agentsmd,recall,65121,1012,0.01249,23.7,13
05-import-lazy,rep2,canon,s1,56656,2487,0.00714,56.5,26
05-import-lazy,rep2,canon,s2,22842,1556,0.00421,35.4,10
05-import-lazy,rep2,canon,s3,58438,2597,0.00649,55.6,21
05-import-lazy,rep2,canon,recall,71537,1018,0.01388,23.4,12
05-import-lazy,rep2,canondoc,s1,46202,2162,0.00539,45.3,17
05-import-lazy,rep2,canondoc,s2,34605,1698,0.00433,44.4,13
05-import-lazy,rep2,canondoc,s3,58219,2451,0.00604,50.2,21
05-import-lazy,rep2,canondoc,recall,14558,643,0.00223,21.8,5
05-import-lazy,rep2,bare,s1,16128,739,0.00263,26.0,8
05-import-lazy,rep2,bare,s2,13945,1225,0.00297,30.0,6
05-import-lazy,rep2,bare,s3,30493,1564,0.00527,34.0,15
05-import-lazy,rep2,bare,recall,68129,970,0.01364,21.0,14
05-import-lazy,rep2,agentsmd,s1,32506,1030,0.00477,28.3,12
05-import-lazy,rep2,agentsmd,s2,32006,1289,0.00377,32.5,9
05-import-lazy,rep2,agentsmd,s3,90947,1865,0.00789,42.2,21
05-import-lazy,rep2,agentsmd,recall,66582,1013,0.01334,21.3,13
05-import-lazy,rep3,canon,s1,21855,1190,0.00393,30.2,10
05-import-lazy,rep3,canon,s2,28515,1633,0.00472,35.1,10
05-import-lazy,rep3,canon,s3,46715,2046,0.00602,48.5,23
05-import-lazy,rep3,canon,recall,73297,751,0.01498,24.5,10
05-import-lazy,rep3,canondoc,s1,29271,1421,0.00471,39.7,11
05-import-lazy,rep3,canondoc,s2,29792,1646,0.00387,38.4,10
05-import-lazy,rep3,canondoc,s3,50880,2262,0.00648,53.4,18
05-import-lazy,rep3,canondoc,recall,15917,1007,0.00271,23.9,10
05-import-lazy,rep3,bare,s1,17003,966,0.00274,28.5,11
05-import-lazy,rep3,bare,s2,13050,1027,0.00318,25.0,6
05-import-lazy,rep3,bare,s3,22876,1704,0.00364,33.8,13
05-import-lazy,rep3,bare,recall,60961,911,0.01257,21.2,9
05-import-lazy,rep3,agentsmd,s1,41191,1206,0.00525,29.4,13
05-import-lazy,rep3,agentsmd,s2,36550,1236,0.0049,27.5,9
05-import-lazy,rep3,agentsmd,s3,56151,1833,0.00588,36.5,16
05-import-lazy,rep3,agentsmd,recall,61387,815,0.01198,18.1,9
05-import-lazy,rep4,canon,s1,34941,1389,0.0041,30.8,15
05-import-lazy,rep4,canon,s2,23339,1591,0.00398,33.4,9
05-import-lazy,rep4,canon,s3,77849,3050,0.00778,57.8,21
05-import-lazy,rep4,canon,recall,20775,1316,0.00332,25.3,13
05-import-lazy,rep4,canondoc,s1,53090,2051,0.00678,45.4,19
05-import-lazy,rep4,canondoc,s2,27661,1266,0.00379,33.9,9
05-import-lazy,rep4,canondoc,s3,56101,2702,0.00701,65.0,20
05-import-lazy,rep4,canondoc,recall,6628,704,0.00151,15.3,3
05-import-lazy,rep4,bare,s1,14322,728,0.00227,18.6,5
05-import-lazy,rep4,bare,s2,13614,1096,0.00266,147.6,6
05-import-lazy,rep4,bare,s3,37944,1890,0.00506,36.7,19
05-import-lazy,rep4,bare,recall,63686,1055,0.01275,21.2,12
05-import-lazy,rep4,agentsmd,s1,33813,1142,0.00418,30.3,14
05-import-lazy,rep4,agentsmd,s2,24321,963,0.00317,32.1,8
05-import-lazy,rep4,agentsmd,s3,66675,1640,0.00513,43.4,17
