capture,model,arm,lineage,depth,stale,superseded_total,store_bytes,pile_bytes,articles,journal
w4r,second,G,salt_pan_rakes_w4k8,8,5,12,10595,7802,3,8
w4r,second,A,vineyard_netting_w4k8,8,11,12,10736,7892,3,8
w4r,second,G,vineyard_netting_w4k8,8,0,12,9804,7892,3,8
w4c,counter,A,foundry_ladle_w4k8,8,9,12,22906,7827,3,8
w4c,counter,G,foundry_ladle_w4k8,8,8,12,12022,7827,3,8
w4c,counter,A,funicular_brakes_w4k8,8,10,12,21979,7875,3,8
w4c,counter,G,funicular_brakes_w4k8,8,11,12,12405,7875,3,8
w4c,counter,A,gravel_washplant_w4k8,8,12,12,16046,7950,4,8
w4c,counter,G,gravel_washplant_w4k8,8,10,12,13168,7950,3,8
w4c,counter,A,mushroom_tunnel_w4k8,8,12,12,23125,7855,3,8
w4c,counter,G,mushroom_tunnel_w4k8,8,11,12,14230,7855,3,9
w4c,counter,A,observatory_chiller_w4k8,8,11,12,22894,7995,3,8
w4c,counter,G,observatory_chiller_w4k8,8,1,12,11161,7995,3,8
w4c,counter,A,regatta_timing_w4k8,8,12,12,22193,7888,3,9
w4c,counter,G,regatta_timing_w4k8,8,10,12,12686,7888,3,10
w4c,counter,A,salt_pan_rakes_w4k8,8,7,12,14886,7802,3,8
w4c,counter,G,salt_pan_rakes_w4k8,8,9,12,11545,7802,3,8
w4c,counter,A,vineyard_netting_w4k8,8,12,12,20135,7892,3,8
w4c,counter,G,vineyard_netting_w4k8,8,11,12,12506,7892,3,8
w3,first,store,foundry_ladle,1,0,0,3329,1403,3,1
w3,first,store,foundry_ladle,2,2,2,4662,2583,3,2
w3,first,store,foundry_ladle,4,4,6,7899,4338,3,4
w3,first,store,foundry_ladle,8,11,12,17178,7837,3,9
w3,first,store,funicular_brakes,1,0,0,2576,1438,3,1
w3,first,store,funicular_brakes,2,2,2,4566,2607,3,2
w3,first,store,funicular_brakes,4,3,5,12605,4368,3,4
w3,first,store,funicular_brakes,8,5,12,13406,7877,3,8
w3,first,store,gravel_washplant,1,0,0,3227,1447,3,1
w3,first,store,gravel_washplant,2,2,2,5486,2631,4,2
w3,first,store,gravel_washplant,4,6,6,13832,4401,4,4
w3,first,store,gravel_washplant,8,11,12,12911,7956,3,8
w3,first,store,mushroom_tunnel,1,0,0,3170,1423,3,1
w3,first,store,mushroom_tunnel,2,2,2,3703,2585,3,2
w3,first,store,mushroom_tunnel,4,3,5,11662,4342,3,4
w3,first,store,mushroom_tunnel,8,12,12,19844,7855,3,8
w3,first,store,observatory_chiller,1,0,0,3282,1438,3,1
w3,first,store,observatory_chiller,2,2,2,4719,2649,3,2
w3,first,store,observatory_chiller,4,5,6,9442,4430,3,4
w3,first,store,observatory_chiller,8,10,12,23949,8005,3,8
w3,first,store,regatta_timing,1,0,0,2868,1432,3,1
w3,first,store,regatta_timing,2,2,2,4398,2599,3,2
w3,first,store,regatta_timing,4,5,6,8291,4363,3,4
w3,first,store,regatta_timing,8,12,12,22943,7882,3,8
w3,first,store,salt_pan_rakes,1,0,0,3539,1409,4,1
w3,first,store,salt_pan_rakes,2,2,2,4464,2569,3,2
w3,first,store,salt_pan_rakes,4,6,6,10245,4315,3,4
w3,first,store,salt_pan_rakes,8,10,12,15384,7798,3,8
w3,first,store,vineyard_netting,1,0,0,3170,1432,3,1
w3,first,store,vineyard_netting,2,2,2,5506,2607,3,2
w3,first,store,vineyard_netting,4,5,5,9125,4355,3,4
w3,first,store,vineyard_netting,8,11,11,24632,7890,3,8
